Category,Technology
Online Video Platforms,Quadia
Online Video Platforms,Simian
Online Video Platforms,Springboard Video
Online Video Platforms,SublimeVideo
Online Video Platforms,ThePlatform
Online Video Platforms,Tvigle
Online Video Platforms,Twistage
Online Video Platforms,Vid.ly
Online Video Platforms,Vidcaster
Online Video Platforms,Viddler
Online Video Platforms,VideoJS
Online Video Platforms,Vidyard
Online Video Platforms,Vimeo
Online Video Platforms,Vzaar
Online Video Platforms,Wiredrive
Online Video Platforms,Wirewax
Online Video Platforms,Wistia
Online Video Platforms,YouTube
Online Video Platforms,Zaption
Online Video Platforms,Muvi
Online Video Platforms,Pivotshare
Online Video Platforms,Searchie
Other,5th Finger
Other,A2Z Inc
Other,Ad Unit 160 x 600
Other,Ad Unit 300 x 250
Other,Ad Unit 300 x 600
Other,Ad Unit 320 x 50
Other,Ad Unit 728 x 90
Other,ADEBiS
Other,Adloox
Other,ADX Studio
Other,ALEX
Other,Altas Relaunched
Other,Amadeus
Other,Americaneagle
Other,Atlas Legacy
Other,Avvo
Other,Bayshore Solutions
Other,Bing Maps
Other,Box.net
Other,BulletinMarketing
Other,CallTrackingMetrics
Other,Sequence Monitor SPF
Other,CareerBuilder
Other,Cision
Other,Coreg-Feed
Other,CoStar Connect
Other,cXense
Other,Deluxe
Other,Delve
Other,DexMedia
Other,Diverse Solutions
Other,DocuSign
Other,DoubleVerify
Other,DudaMobile
Other,Easyling
Other,Echo
Other,eNeighborhoods (Homes.com)
Other,ExactOnline
Other,Experian
Other,FBWCA-AR
Other,Find Law
Other,Flickr API
Other,Flickr Badge
Other,Flickr Slideshow
Other,Fry
Other,FullStory
Other,Gettyimages
Other,Gigya Login
Other,Gigya Registration
Other,Gigya Registration as a Service
Other,Google Apps
Other,Google Checkout
Other,Google Maps
Other,Google Maps (Non Paid Users)
Other,Google Maps (Paid Users)
Other,Google Places
Other,greyscale - black
Other,greyscale - grey
Other,greyscale - white
Other,Homeadvisor
Other,iHomeFinder
Other,Indeed
Other,Influitive
Other,IntelliAd
Other,InTouch
Other,Lighthouse 360
Other,Linkedin Widget
Other,Loggly
Other,MailChimp SPF
Other,Map Quest
Other,MegaLeads
Other,Mobile Friendly
Other,MotionPoint
Other,Mulesoft
Other,nRelate
Other,Microsoft Office 365
Other,Okta (sub-domains only)
Other,Onswipe
Other,OpenID
Other,Paczkomaty
Other,Parityrate
Other,Pet Exec
Other,PostAffiliatePro
Other,PowerSchool
Other,Predictry
Other,Purecars
Other,QuoteValet
Other,RevenueWell (patientconnect365)
Other,Service2 Client
Other,Shopsense
Other,Shutterstock
Other,SignNow
Other,Smartling
Other,SoundCloud
Other,Steepto
Other,Transifex
Other,Twilio
Other,Unity 3D Web Player
Other,Unreal Engine
Other,VetScene
Other,Vizergy
Other,VMIX
Other,Websystem2/3
Other,Wix TINT
Other,Wolfnet
Other,Xceligent
Other,Xenforo
Other,Xero
Other,Yelp
Other,Zencoder
Other,Ab Initio
Other,iManage
Other,Snowbound
Other,Sardine.ai
Other,Engagedly
Other,Aloha POS
Other,Accusoft
Other,Mighty Networks
Other,Browserstack
Other,mParticle
Other,Autodesk
Other,Boomi
Other,Raptive
Other,TaxJar
Other,Meta Pixel
Other,Ansible
Other,Semrush
Other,Ometria
Other,Exponea
Other,Gong
Other,Ahrefs
Other,Avalara
Other,Lattice
Other,Metamask
Other,Esri
Other,Zoho Creator
Other,Render
Other,IoT
Other,Micro
Other,Data Storage
Other,Blackline
Other,Learnable
Other,Linux OS
Other,Fairing
Other,Silver Plume
Other,Unqork
Other,Arketa
Other,Simplicate
Other,Oracle Products
Other,Oracle E Business Suite
Other,Kernelcare
Other,Trackpod
Other,Oasis-7
Other,Docker
Other,Toast
Other,Remote
Other,Memberful
Other,Dentalqore
Other,MemberMouse
Other,Attentive
Other,Spayee
Other,Provesource
Other,Vertical Market Software
Other,UserWay
Other,Azure Virtual Desktop
Other,Accredible
Other,7shifts
Other,SailPoint
Other,Samsara
Other,Coupa
Other,Microsoft Project
Other,Airtable
Other,AI
Other,Thomson Reuters Legal Solutions
Other,Black Line
Enterprise Resource Planning,Dynamics 365 F&O
Enterprise Resource Planning,Microsoft Dynamics AX
Enterprise Resource Planning,IFS ERP
Enterprise Resource Planning,S/4HANA
Enterprise Resource Planning,Acumatica
Financial Software,Dext
Financial Software,MineralTree
Financial Software,Billtrust
Financial Software,Sage 300
Financial Software,YayPay
Financial Software,QuickBooks
Financial Software,HighRadius
Financial Software,Paytm
Financial Software,Razorpay
Financial Software,Cashfree
Financial Software,Workday Financial
Financial Software,Intuit
Financial Software,Circle
Financial Software,TransferWise
Financial Software,Myob
Financial Software,Alkami
Property Management Software,Realpage
Property Management Software,Appfolio
Property Management Software,BuildingLink
Property Management Software,Yardi
Property Management Software,Rent Manager
Property Management Software,Buildium
Property Management Software,Rent Cafe
Property Management Software,Bubble.io
Property Management Software,Mews
Property Management Software,Cloudbeds
Payments,PayU
Payments,Tipalti
Payments,Box
Payments,Adyen
Payments,Amazon Payments
Payments,Apple Pay
Payments,Authorize.NET
Payments,Avangate
Payments,Balanced
Payments,BillMeLater
Payments,BitPay
Payments,BlueSnap
Payments,Braintree
Payments,CCBill
Payments,Digital River
Payments,Dwolla
Payments,FastSpring
Payments,Flattr
Payments,Freshbooks
Payments,Google Wallet
Payments,Ingenico (Ogone)
Payments,Klarna
Payments,MasterPass
Payments,Paychex
Payments,Paylocity
Payments,Paypal
Payments,PaySimple
Payments,Quickbooks Online
Payments,Recurly
Payments,Recurly JS
Payments,"Square, Inc."
Payments,Stripe
Payments,TrialPay
Payments,Visa Checkout
Payments,WePay
Payments,World Pay
Payments,Zombaio
Payments,Zuora
Payments,Rapyd
Payments,Deel
Payments,Intuit Payments Gateway
Payments,2Checkout
Personalization,Amadesa
Personalization,Baynote
Personalization,Certona
Personalization,Commerce Sciences
Personalization,CrowdIgnite
Personalization,iGoDigital
Personalization,Lead Converter
Personalization,Monoloop
Personalization,MyBuys
Personalization,Peerius
Personalization,Personyze
Personalization,RichRelevance
Personalization,Sailthru
Personalization,SeeWhy
Personalization,Strands Retail
Personalization,Vertical Acuity
Publisher Advertising Tools,Adition Technologies - Publishers
Publisher Advertising Tools,AdsNative
Publisher Advertising Tools,AdSupply
Publisher Advertising Tools,AudienceFuel
Publisher Advertising Tools,BuySellAds
Publisher Advertising Tools,Contently
Publisher Advertising Tools,Criteo Publisher Marketplace
Publisher Advertising Tools,DTScout
Publisher Advertising Tools,Hexagram Exchange
Publisher Advertising Tools,Komoona
Publisher Advertising Tools,Luminate
Publisher Advertising Tools,MadAdsMedia
Publisher Advertising Tools,Media.net
Publisher Advertising Tools,Nativo
Publisher Advertising Tools,NetSeer
Publisher Advertising Tools,Open AdStream (Appnexus)
Publisher Advertising Tools,OpenX - Exchange
Publisher Advertising Tools,Parse.ly
Publisher Advertising Tools,Polar (Media Voice)
Publisher Advertising Tools,Scout Analytics
Publisher Advertising Tools,Sharethrough
Publisher Advertising Tools,Sovrn
Publisher Advertising Tools,Switch Ads
Publisher Advertising Tools,Thoughtleadr
Publisher Advertising Tools,Tynt
Recruitment,AcquireTM
Recruitment,ADP Applicant Tracking System
Recruitment,Applicant Pro
Recruitment,Ascendify
Recruitment,ATS OnDemand
Recruitment,Avature
Recruitment,Avionte
Recruitment,BambooHR
Recruitment,Bond Adapt
Recruitment,Breezy HR (formerly NimbleHR)
Recruitment,Catsone
Recruitment,Compas (MyCompas)
Recruitment,Cornerstone On Demand
Recruitment,Crelate
Recruitment,Employease
Recruitment,eRecruit
Recruitment,Findly
Recruitment,Gethired
Recruitment,Gild
Recruitment,Greenhouse.io
Recruitment,HealthcareSource
Recruitment,HireBridge
Recruitment,HR Logix
Recruitment,HRMDirect
Recruitment,HRSmart
Recruitment,Hyrell
Recruitment,iCIMS
Recruitment,Indeed Sponsored Ads
Recruitment,Infor (PeopleAnswers)
Recruitment,Interviewstream
Recruitment,JobAdder
Recruitment,JobApp
Recruitment,JobDiva
Recruitment,Jobscore
Recruitment,Jobvite
Recruitment,Kenexa
Recruitment,Kwantek
Recruitment,Lever
Recruitment,Luceo
Recruitment,Lumesse
Recruitment,myStaffingPro
Recruitment,myTalentLink
Recruitment,Newton Software
Recruitment,PC Recruiter
Recruitment,People Matter
Recruitment,PeopleFluent
Recruitment,Resumator
Recruitment,Sendouts
Recruitment,SilkRoad
Recruitment,SmartRecruiters
Recruitment,SmashFly
Recruitment,SuccessFactors (SAP)
Recruitment,TalentEd
Recruitment,Taleo
Recruitment,TMP Worldwide
Recruitment,TrackerRMS
Recruitment,UltiPro
Recruitment,Umantis
Recruitment,Winocular
Recruitment,Workable
Recruitment,Workday Recruit
Recruitment,ZipRecruiter
Recruitment,Zoho Recruit
Recruitment,Vincere
Recruitment,Bullhorn
Reservation Software,Availpro
Reservation Software,BookaTable
Reservation Software,Bookenda
Reservation Software,Booker Software
Reservation Software,Demandforce Scheduler Widget
Reservation Software,Ebisol
Reservation Software,Eveve
Reservation Software,FastBooking
Reservation Software,Hotel Spider
Reservation Software,iHotelier (TravelClick)
Reservation Software,Livebookings
Reservation Software,NexTable
Reservation Software,Office 24
Reservation Software,Opentable
Reservation Software,Opentable Widget
Reservation Software,Quandoo
Reservation Software,ResDiary
Reservation Software,Reservit
Reservation Software,RestaurantConnect
Reservation Software,Restorando
Reservation Software,SeatMe
Reservation Software,Simplebooking
Reservation Software,SynXis (Sabre Hospitality)
Reservation Software,Table 37
Reservation Software,TableCheck (Vesper)
Retargeting,Adcrowd
Retargeting,AdExtent
Retargeting,AdRoll
Retargeting,Buysight (Advertising.com)
Retargeting,Captify
Retargeting,Chango
Retargeting,Criteo
Retargeting,Dotomi
Retargeting,Facebook Custom Audiences
Retargeting,Fetchback
Retargeting,Google Dynamic Remarketing
Retargeting,Google Remarketing
Retargeting,Heais by Adnologies
Retargeting,Kupona
Retargeting,Leadback
Retargeting,Magnetic
Retargeting,mainADV
Retargeting,mediaFORGE
Retargeting,Merchenta
Retargeting,Meteora
Retargeting,MyThings
Retargeting,NextPerf
Retargeting,Perfect Audience
Retargeting,Realtime Targeting
Retargeting,ReTargeter
Retargeting,RTB House
Retargeting,Sociomantic
Retargeting,SteelHouse
Retargeting,Struq
Retargeting,Tacoda
Retargeting,Target Performance
Retargeting,Tellapart
Retargeting,Ve Interactive
Retargeting,Veruta (MyBuys)
Retargeting,Vizury
Retargeting,webtraffic
Retargeting,Xplosion
Retargeting,Xplosion Interactive
Retargeting,Yahoo Retargeting
Retargeting,Yieldr
SSL Certificates,GeoTrust
SSL Certificates,GoDaddy
SSL Certificates,OpenSSL
Search Appliances,Bing
Search Appliances,Elasticsearch
Search Appliances,Endeca
Search Appliances,Google AFS
Search Appliances,Google Custom Search
Search Appliances,Google GSA
Search Appliances,SLI Site Champion
Search Appliances,SLI Systems
Search Appliances,Swiftype
Search Marketing,Acquisio
Search Marketing,Adobe Media Optimizer
Search Marketing,Algolia
Search Marketing,Bizible
Search Marketing,BloomReach
Search Marketing,Brand Rep
Search Marketing,BrightEdge
Search Marketing,Cint
Search Marketing,HitTail
Search Marketing,IgnitionOne
Search Marketing,Kenshoo
Search Marketing,Marin
Search Marketing,SearchDex
Search Marketing,SearchMetrics
Search Marketing,Wishpond
Search Marketing,Wordstream
Search Marketing,Yandex.Direct
Search Marketing,YourAmigo
Search Marketing,Adobe Marketing Cloud
Security,KnowBe4
Security,CybSafe
Security,Proofpoint
Security,Nimblr
Security,CyberArk
Security,Datagrail
Security,BigID
Security,BBB seal
Security,BuySafe
Security,Evidon Seal
Security,GeoTrust Verification
Security,GoDaddy Verified
Security,HONESTe Online
Security,McAfee
Security,Network Solutions Seal
Security,Sift Science
Security,Sitelock
Security,Starfield
Security,Thawte Seal
Security,Truste
Security,TrustGuard
Security,TrustKeeper (TrustWave)
Security,Trustwave Seal
Security,User Trust (Comodo)
Security,Verisign Seal
Security,Biocatch
Security,Arcsight
Security,Zscaler
Security,Cisco Anyconnect
Security,Mobileiron
Security,Kandji
Security,Twingate
Security,Netskope
Security,Tailscale
Security,Varonis
Security,Code42
Security,Mosyle
Site and Cart Abandonment,Abandonaid
Site and Cart Abandonment,CartStack
Site and Cart Abandonment,Exitmonitor
Site and Cart Abandonment,Granify
Site and Cart Abandonment,OptiLead
Site and Cart Abandonment,Optimonk
Site and Cart Abandonment,PicReel
Site and Cart Abandonment,Rejoiner
Site and Cart Abandonment,SaleCycle
Site and Cart Abandonment,Spring Metrics
Site and Cart Abandonment,Upsellit
Site and Cart Abandonment,Yieldify
Small Business Marketing Software,PetWise Marketing
Small Business Marketing Software,VetShout
Small Business Marketing Software,Avelient
Small Business Marketing Software,Prosites
Small Business Marketing Software,EyeCarePro
Social Login,CoffeeBean
Social Login,Dito
Social Login,Facebook Login (Connect)
Social Login,Gigya
Social Login,Google Plus
Social Login,Janrain
Social Login,Linkedin Login
Social Login,LoginRadius
Social Login,OneAll
Social Login,ShopSocially
Social Login,SocialPlus
Social Login,Twitter Widgets
Social Media Marketing,Agropulse
Social Media Marketing,Upfluence
Social Media Marketing,Creator.co
Social Media Marketing,Ambassador
Social Media Marketing,BuddyMedia
Social Media Marketing,Chute
Social Media Marketing,CoverItLive
Social Media Marketing,Curalate
Social Media Marketing,Curebit
Social Media Marketing,Extole
Social Media Marketing,FeedMagnet
Social Media Marketing,Friendbuy
Social Media Marketing,Gleam
Social Media Marketing,Iconosquare
Social Media Marketing,Madwire
Social Media Marketing,MassRelevance (Spredfast)
Social Media Marketing,Nanigans
Social Media Marketing,Netbase
Social Media Marketing,Offerpop
Social Media Marketing,Olapic
Social Media Marketing,Pixlee
Social Media Marketing,Postano
Social Media Marketing,Ready Pulse
Social Media Marketing,Readypulse
Social Media Marketing,RebelMouse
Social Media Marketing,ReferralCandy
Social Media Marketing,ScribbleLive
Social Media Marketing,Seesmic
Social Media Marketing,Smartify
Social Media Marketing,SocialBro
Social Media Marketing,SocialTwist
Social Media Marketing,Stackla
Social Media Marketing,ThisMoment
Social Media Marketing,Tint
Social Media Marketing,Traackr
Social Media Marketing,TradableBits
Social Media Marketing,VideoBloom
Social Media Marketing,Videogenie
Social Media Marketing,ViralNinjas
Social Media Marketing,Wayin
Social Sharing,AddShoppers
Social Sharing,AddThis
Social Sharing,Facebook Like Button
Social Sharing,Facebook Social Plugins
Social Sharing,Gigya Share
Social Sharing,Hupso
Social Sharing,Instagram
Social Sharing,Janrain Social Share
Social Sharing,ShareThis
Social Sharing,Twitter Sharing
Social Sharing,Asksuite
Supply Side Platforms,Blue Yonder
Supply Side Platforms,PubMatic
Supply Side Platforms,Rubicon Project
Supply Side Platforms,Sonobi
Supply Side Platforms,Zedo
Support and Feedback,Autotask
Support and Feedback,BrightPearl
Support and Feedback,CentraStage RMM
Support and Feedback,ClickDesk
Support and Feedback,ConnectWise
Support and Feedback,Desk.com
Support and Feedback,drchrono
Support and Feedback,Enalyzer
Support and Feedback,ePet Health
Support and Feedback,Estara
Support and Feedback,Ethnio
Support and Feedback,Feedbackify
Support and Feedback,ForeSee
Support and Feedback,Freshdesk
Support and Feedback,GetFeedback
Support and Feedback,GetSatisfaction
Support and Feedback,Groove
Support and Feedback,Helpscout
Support and Feedback,InMoment
Support and Feedback,Intercom
Support and Feedback,iPerceptions
Support and Feedback,Kampyle
Support and Feedback,KarmaSoft
Support and Feedback,Kayako
Support and Feedback,LogMeIn - Rescue
Support and Feedback,MemberClicks
Support and Feedback,mHelpDesk
Support and Feedback,Needle
Support and Feedback,OpinionLab
Support and Feedback,Parature
Support and Feedback,PerfectMind
Support and Feedback,Qualaroo
Support and Feedback,Qualtrics
Support and Feedback,Questback
Support and Feedback,RightNow
Support and Feedback,RightSignature
Support and Feedback,Rosy Salon Software
Support and Feedback,SOAP Vault
Support and Feedback,Spigit (Mindjet)
Support and Feedback,SurveyGizmo
Support and Feedback,SurveyMonkey
Support and Feedback,Surveypal
Support and Feedback,TurnTo
Support and Feedback,Userecho
Support and Feedback,UserMood
Support and Feedback,UserNeeds
Support and Feedback,UserReport
Support and Feedback,UserVoice
Support and Feedback,Webropol
Support and Feedback,Zendesk
Support and Feedback,PerformYard
Support and Feedback,15five
Tag Management,Adobe Tag Management
Tag Management,Datalicious SuperTag
Tag Management,DoubleClick Floodlight
Tag Management,Ensighten
Tag Management,Exactag
Tag Management,Google Tag Manager
Tag Management,Qubit OpenTag
Tag Management,SearchDiscovery Satellite
Tag Management,Signal by BrightTag
Tag Management,Tag Commander
Tag Management,TagMan
Tag Management,Tealium
Tag Management,UberTags (X+1)
Tag Management,Yahoo Tag Manager
Video Advertising Networks,HippoVideo
Video Advertising Networks,AdapTV
Video Advertising Networks,Animoto
Video Advertising Networks,Brightroll
Video Advertising Networks,Coull
Video Advertising Networks,eBuzzing
Video Advertising Networks,Idomoo
Video Advertising Networks,Invodo
Video Advertising Networks,Mediabong
Video Advertising Networks,Mixpo
Video Advertising Networks,NDN
Video Advertising Networks,PointRoll
Video Advertising Networks,Selectable Media
Video Advertising Networks,Smartclip
Video Advertising Networks,SpotXchange
Video Advertising Networks,Teads
Video Advertising Networks,Treepodia
Video Advertising Networks,Tremor Video
Video Advertising Networks,TubeMogul
Video Advertising Networks,Unicorn Media
Video Advertising Networks,Unruly Media
Video Advertising Networks,Videology
Video Advertising Networks,Videoplaza
Video Advertising Networks,Virool
Video Advertising Networks,YuMe
Video Advertising Networks,Google DV360
Web Accelerators,CloudFlare
Web Accelerators,Digital Fulcrum GhostWriter
Web Accelerators,Incapsula
Web Accelerators,mod_page_speed
Web Accelerators,Page Speed Service
Web Accelerators,StrangeLoop
Web Accelerators,Webo
Web Performance Monitoring,Sentry.io
Web Performance Monitoring,Akamai RUM
Web Performance Monitoring,AlertSite by Smartbear
Web Performance Monitoring,AppDynamics
Web Performance Monitoring,Boomerang JS library
Web Performance Monitoring,Bucky
Web Performance Monitoring,Catchpoint
Web Performance Monitoring,Cedexis Radar
Web Performance Monitoring,dynaTrace
Web Performance Monitoring,Gomez
Web Performance Monitoring,Google Speed Analytics
Web Performance Monitoring,Keynote
Web Performance Monitoring,Lognormal
Web Performance Monitoring,New Relic
Web Performance Monitoring,Pingdom
Web Performance Monitoring,R17
Web Performance Monitoring,Ruxit
Web Performance Monitoring,SOASTA
Web Performance Monitoring,ThousandEyes
Web Performance Monitoring,Torbit Insight
Web Performance Monitoring,Better Uptime
Web Performance Monitoring,StatusPage IO
Web Performance Monitoring,Datadog
Web Presentation Tools,WebinarJam
Web Presentation Tools,Zoom Webinar
Web Presentation Tools,Zuddl
Web Presentation Tools,Hubilo
Web Presentation Tools,ON24
Web Presentation Tools,Demio
Web Presentation Tools,Livestorm
Web Presentation Tools,Adobe Connect
Web Presentation Tools,Brainshark
Web Presentation Tools,Brighttalk
Web Presentation Tools,Fuze
Web Presentation Tools,GoToMeeting
Web Presentation Tools,GoToWebinar
Web Presentation Tools,Knowledge Vision
Web Presentation Tools,MediaPlatform
Web Presentation Tools,Personify
Web Presentation Tools,ReadyTalk
Web Presentation Tools,Webex
Widgets,Amazon Widgets
Widgets,Angies List
Widgets,Aviary
Widgets,Bing Accredited Professional Tag
Widgets,BlueKnow
Widgets,BugHerd
Widgets,CustomerLobby
Widgets,Errorception
Widgets,Facebook Widget
Widgets,Ghostery (formerly Evidon)
Widgets,Google Play
Widgets,Google translate API
Widgets,Google translate widget
Widgets,Hellobar
Widgets,iTunes
Widgets,Kelly Blue Book Widget
Widgets,Multilingual
Widgets,PollDaddy
Widgets,Pubexchange
Widgets,Rateabiz
Widgets,Searchify
Widgets,Skype Widget
Widgets,Slimbox
Widgets,Snapwidget
Widgets,SumoMe
Widgets,SureCritic
Widgets,Tableau
Widgets,TripTease (Price Check)
Widgets,RingCentral
